LAESTAB,CYPMD_ID,QAN,QUAL_NAME,SYLLABUS,SESSION,GRADE
8604070,CYP0000052,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000052,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000054,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000056,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000058,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000058,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000060,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000062,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000064,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000064,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000066,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000068,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000070,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000070,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000072,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000074,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
8604070,CYP0000076,60146084,GCSE (9-1) Mathematics,8300H,S2023,4
8604070,CYP0000076,60148366,GCSE (9-1) English Language,1EN0,S2024,5
8604070,CYP0000078,60149589,GCE A Level Art and Design,9FA0,S2024,C
8604070,CYP0000080,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2023,A
8604070,CYP0000082,60146084,GCSE (9-1) Mathematics,8300H,S2024,6
8604070,CYP0000082,60148366,GCSE (9-1) English Language,1EN0,S2024,8
8604070,CYP0000084,60149589,GCE A Level Art and Design,9FA0,S2023,A
8604070,CYP0000086,10025480,OCR Level 3 FSMQ: Additional Maths,6993,S2024,C
